N,NThreads,Run,ExecutionTime
1024,16,8,0.040086
1024,16,9,0.037768
2048,1,0,0.904127
2048,1,1,0.902432
2048,1,2,0.901409
2048,1,3,0.901521
2048,1,4,0.895984
2048,1,5,0.907444
2048,1,6,0.911015
2048,1,7,0.898854
2048,1,8,0.905744
2048,1,9,0.903253
2048,2,0,0.482324
2048,2,1,0.475646
2048,2,2,0.483170
2048,2,3,0.488351
2048,2,4,0.483453
2048,2,5,0.483024
2048,2,6,0.478996
2048,2,7,0.485103
2048,2,8,0.471163
2048,2,9,0.480872
2048,3,0,0.328856
2048,3,1,0.394097
2048,3,2,0.333635
2048,3,3,0.336314
2048,3,4,0.394326
2048,3,5,0.335699
2048,3,6,0.336679
2048,3,7,0.338585
2048,3,8,0.392191
2048,3,9,0.331965
2048,4,0,0.319413
2048,4,1,0.309683
2048,4,2,0.316913
2048,4,3,0.262899
2048,4,4,0.264562
2048,4,5,0.266155
2048,4,6,0.267392
2048,4,7,0.264659
2048,4,8,0.263342
2048,4,9,0.309253
2048,5,0,0.259775
2048,5,1,0.268737
2048,5,2,0.273535
2048,5,3,0.271011
2048,5,4,0.264930
2048,5,5,0.270599
2048,5,6,0.269528
2048,5,7,0.269116
2048,5,8,0.270410
2048,5,9,0.263361
2048,6,0,0.239758
2048,6,1,0.235667
2048,6,2,0.184347
2048,6,3,0.208196
2048,6,4,0.227541
2048,6,5,0.238541
2048,6,6,0.227622
2048,6,7,0.232398
2048,6,8,0.235359
2048,6,9,0.240334
2048,7,0,0.211538
2048,7,1,0.212639
2048,7,2,0.209626
2048,7,3,0.212951
2048,7,4,0.214233
2048,7,5,0.206285
2048,7,6,0.211761
2048,7,7,0.213575
2048,7,8,0.206555
2048,7,9,0.204948
2048,8,0,0.193661
2048,8,1,0.200614
2048,8,2,0.199277
2048,8,3,0.199371
2048,8,4,0.197750
2048,8,5,0.203680
2048,8,6,0.195256
2048,8,7,0.167697
2048,8,8,0.164499
2048,8,9,0.183073
2048,9,0,0.176900
2048,9,1,0.179975
2048,9,2,0.182445
2048,9,3,0.183245
2048,9,4,0.173673
2048,9,5,0.179951
2048,9,6,0.177747
2048,9,7,0.180233
2048,9,8,0.181564
2048,9,9,0.178079
2048,10,0,0.170132
2048,10,1,0.171496
2048,10,2,0.169734
2048,10,3,0.167773
2048,10,4,0.168576
2048,10,5,0.168175
2048,10,6,0.168677
2048,10,7,0.172727
2048,10,8,0.161042
2048,10,9,0.173260
2048,11,0,0.157365
2048,11,1,0.151347
2048,11,2,0.153081
2048,11,3,0.157886
2048,11,4,0.158069
2048,11,5,0.158178
2048,11,6,0.142820
2048,11,7,0.159271
2048,11,8,0.150682
2048,11,9,0.152274
2048,12,0,0.148549
2048,12,1,0.147701
2048,12,2,0.151922
2048,12,3,0.148772
2048,12,4,0.148230
2048,12,5,0.150221
2048,12,6,0.150886
2048,12,7,0.151475
2048,12,8,0.153263
2048,12,9,0.147231
2048,13,0,0.138640
2048,13,1,0.140826
2048,13,2,0.140746
2048,13,3,0.141967
2048,13,4,0.142398
2048,13,5,0.138362
2048,13,6,0.168725
2048,13,7,0.152797
2048,13,8,0.142991
2048,13,9,0.159919
2048,14,0,0.157485
2048,14,1,0.160434
2048,14,2,0.142210
2048,14,3,0.137540
2048,14,4,0.163094
2048,14,5,0.161675
2048,14,6,0.139926
2048,14,7,0.136538
2048,14,8,0.137049
2048,14,9,0.135688
2048,15,0,0.126408
2048,15,1,0.129215
2048,15,2,0.122005
2048,15,3,0.122293
2048,15,4,0.129544
2048,15,5,0.125862
2048,15,6,0.124510
2048,15,7,0.128240
2048,15,8,0.129463
2048,15,9,0.118993
2048,16,0,0.124535
2048,16,1,0.132892
2048,16,2,0.130886
2048,16,3,0.135804
2048,16,4,0.133233
2048,16,5,0.131836
2048,16,6,0.125611
2048,16,7,0.130521
2048,16,8,0.130766
2048,16,9,0.130135
4096,1,0,3.878421
4096,1,1,3.853011
4096,1,2,3.867827
4096,1,3,3.913529
4096,1,4,3.749908
4096,1,5,3.876482
4096,1,6,3.873484
4096,1,7,3.824838
4096,1,8,3.837051
4096,1,9,3.796720
4096,2,0,2.027184
4096,2,1,2.056330
4096,2,2,2.048102
4096,2,3,2.019490
4096,2,4,2.102882
4096,2,5,2.036258
4096,2,6,2.202141
4096,2,7,2.042973
4096,2,8,2.290251
4096,2,9,2.210165
4096,3,0,1.542529
4096,3,1,1.526986
4096,3,2,1.501255
4096,3,3,1.527611
4096,3,4,1.525431
4096,3,5,1.506574
4096,3,6,1.527683
4096,3,7,1.377878
4096,3,8,1.534529
4096,3,9,1.375017
4096,4,0,1.216883
4096,4,1,1.232978
4096,4,2,1.238024
4096,4,3,1.220056
4096,4,4,1.235440
4096,4,5,1.073105
4096,4,6,1.078065
4096,4,7,1.087553
4096,4,8,1.233580
4096,4,9,1.082362
4096,5,0,1.031738
4096,5,1,1.033084
4096,5,2,1.032686
4096,5,3,1.007687
4096,5,4,1.018649
4096,5,5,1.026820
4096,5,6,1.019164
4096,5,7,1.016231
4096,5,8,0.993236
4096,5,9,0.980667
4096,6,0,0.837038
4096,6,1,0.837268
4096,6,2,0.836886
4096,6,3,0.849603
4096,6,4,0.843731
4096,6,5,0.849615
4096,6,6,0.852224
4096,6,7,0.837981
4096,6,8,0.823223
4096,6,9,0.830555
4096,7,0,0.724935
4096,7,1,0.699700
4096,7,2,0.721836
4096,7,3,0.713887
4096,7,4,0.721831
4096,7,5,0.705556
4096,7,6,0.731357
4096,7,7,0.735505
4096,7,8,0.717363
4096,7,9,0.709900
4096,8,0,0.662989
4096,8,1,0.659249
4096,8,2,0.673543
4096,8,3,0.666868
4096,8,4,0.637076
4096,8,5,0.657544
4096,8,6,0.659557
4096,8,7,0.656178
4096,8,8,0.655127
4096,8,9,0.634677
4096,9,0,0.571729
4096,9,1,0.545400
4096,9,2,0.575083
4096,9,3,0.644666
4096,9,4,0.570829
4096,9,5,0.593806
4096,9,6,0.585059
4096,9,7,0.590801
4096,9,8,0.616347
4096,9,9,0.572453
4096,10,0,0.508127
4096,10,1,0.527468
4096,10,2,0.527250
4096,10,3,0.507551
4096,10,4,0.510341
4096,10,5,0.512661
4096,10,6,0.545137
4096,10,7,0.544354
4096,10,8,0.539879
4096,10,9,0.526169
4096,11,0,0.467552
4096,11,1,0.487155
4096,11,2,0.481049
4096,11,3,0.486540
4096,11,4,0.485177
4096,11,5,0.490811
4096,11,6,0.490647
4096,11,7,0.496750
4096,11,8,0.491407
4096,11,9,0.485957
4096,12,0,0.533031
4096,12,1,0.476253
4096,12,2,0.465981
4096,12,3,0.473504
4096,12,4,0.544487
4096,12,5,0.474365
4096,12,6,0.470763
4096,12,7,0.462987
4096,12,8,0.470722
4096,12,9,0.464472
4096,13,0,0.426392
4096,13,1,0.426111
4096,13,2,0.433550
4096,13,3,0.430631
4096,13,4,0.428113
4096,13,5,0.413935
4096,13,6,0.426807
4096,13,7,0.427281
4096,13,8,0.414571
4096,13,9,0.433830
4096,14,0,0.399762
4096,14,1,0.435874
4096,14,2,0.417050
4096,14,3,0.407940
4096,14,4,0.410198
4096,14,5,0.423895
4096,14,6,0.425877
4096,14,7,0.417272
4096,14,8,0.473867
4096,14,9,0.404409
4096,15,0,0.388467
4096,15,1,0.368388
4096,15,2,0.373754
4096,15,3,0.363047
4096,15,4,0.383181
4096,15,5,0.362975
4096,15,6,0.367785
4096,15,7,0.371146
4096,15,8,0.368883
4096,15,9,0.377401
4096,16,0,0.414534
4096,16,1,0.408839
4096,16,2,0.418673
4096,16,3,0.412488
4096,16,4,0.414470
4096,16,5,0.393469
4096,16,6,0.420201
4096,16,7,0.406237
4096,16,8,0.409799
4096,16,9,0.409858
